block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,faces_image.stopped,response.stopped,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,20,faces/unknown/unknown_297.jpg,unknown,19,19,0,None,,,0,19,19,19,72.94559509999999,,,,,,,,,72.94003509999948,73.92760349999935,74.66734089999954,74.63700729999982,74.66479170000002,74.66734089999954,74.66734089999954,0.027794799999355746,1.0145601999993232,76.6373021999998,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,21,faces/unknown/unknown_20.jpg,unknown,20,20,0,None,,,0,20,20,20,76.64412679999987,,,,,,,,,76.63744529999985,77.62475449999965,78.37539979999929,78.34591199999977,78.37298549999923,78.37539979999929,78.37539979999929,0.027081400000497524,1.0118976000003386,80.35556369999995,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,22,faces/unknown/unknown_172.jpg,unknown,21,21,0,None,,,0,21,21,21,80.35792700000002,,,,,,,,,80.35576429999946,81.33975819999978,82.19297779999943,82.16451169999982,82.19039079999948,82.19297779999943,82.19297779999943,0.02588599999944563,1.0117215999998734,84.17008779999924,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,23,faces/unknown/unknown_225.jpg,unknown,22,22,0,None,,,0,22,22,22,84.17619959999956,,,,,,,,,84.17020129999946,85.15762389999963,86.08144819999961,86.05200029999924,86.07889949999935,86.08144819999961,86.08144819999961,0.026906399999461428,1.0174515999997311,88.05471269999998,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,24,faces/unknown/unknown_69.jpg,unknown,23,23,0,None,,,0,23,23,23,88.06070349999936,,,,,,,,,88.0548405999998,89.04243749999932,89.69037630000003,89.66120769999998,89.68776219999927,89.69037630000003,89.69037630000003,0.026561499999843363,1.0175419000006514,91.6698649,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,25,faces/unknown/unknown_173.jpg,unknown,24,24,0,None,,,0,24,24,24,91.67268559999957,,,,,,,,,91.67000089999965,92.65457209999931,93.30017569999927,93.27033229999961,93.29758829999992,93.30017569999927,93.30017569999927,0.02726119999988441,1.0170803000000888,95.27274489999945,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,26,faces/unknown/unknown_278.jpg,unknown,25,25,0,None,,,0,25,25,25,95.27858359999937,,,,,,,,,95.27287780000006,96.2603567999995,97.01589799999965,96.9861922,97.01320589999978,97.01589799999965,97.01589799999965,0.027027500000258442,1.0171786000000793,98.98813040000005,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,27,faces/unknown/unknown_71.jpg,unknown,26,26,0,None,,,0,26,26,26,98.99364859999969,,,,,,,,,98.98829870000009,99.97562339999968,100.94843140000012,100.91904350000004,100.94586769999933,100.94843140000012,100.94843140000012,0.02683179999985441,1.0178537000001597,102.9213307,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,28,faces/known/known_12.jpg,known,27,27,0,space,0.6115691999993942,0.14305080000031012,0,27,27,27,102.92675209999925,,,,,,,,,102.9214551999994,103.90881369999988,104.57245169999987,104.54559299999983,104.56998339999973,104.57245169999987,104.57245169999987,0.024401099999522557,1.0116932000000816,106.55188969999926,space,,,0.6115691999993942,0.14305080000031012,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,29,faces/unknown/unknown_22.jpg,unknown,28,28,0,None,,,0,28,28,28,106.55713059999925,,,,,,,,,106.55203869999968,107.53892039999937,108.47968009999931,108.45163479999974,108.47738870000012,108.47968009999931,108.47968009999931,0.025763699999515666,1.0177696000000651,110.4544962,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
